Rank;Previous Rank;First Appearance;First Rank;Name;Computer;Site;Manufacturer;Country;Year;Segment;Total Cores;Accelerator/Co-Processor Cores;Rmax [TFlop/s];Rpeak [TFlop/s];Nmax;Nhalf;HPCG [TFlop/s];Power (kW);Power Source;Power Efficiency [GFlops/Watts];Memory;Architecture;Processor;Processor Technology;Processor Speed (MHz);Operating System;OS Family;Accelerator/Co-Processor;Cores per Socket;Processor Generation;System Model;System Family;Interconnect Family;Interconnect;Continent;Site ID;System ID
169;129;54;95;Hypercluster;NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR;Microsoft Research ;Nvidia;United States;2019;Research;47 808;46 080;2 666,00;4 219,09;1 531 040;;;;;;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;Ubuntu 18.04.01;Linux;NVIDIA Tesla V100;24;Xeon Platinum;NVIDIA DGX-2;NVIDIA DGX;Infiniband;Mellanox InfiniBand EDR;North America;50 819;179775
170;130;56;130;ZZ5;ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;64 800;;2 661,46;5 184,00;4 553 856;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179890
171;131;56;131;ZZ6;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;69 120;;2 654,04;5 529,60;4 293 120;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179891
172;132;55;109;;ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet;Cloud Company;Lenovo;China;2020;Industry;128 000;;2 651,95;4 710,40;8 763 648;;;;;;;Cluster;Xeon Gold 5218 16C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;16;Xeon Gold;ThinkSystem SR590;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 775;179850
173;133;56;133;Grace;PowerEdge R640/R740/R840, Xeon Gold 6248R/6248R/6248, 24C 3.0GHz, InfiniBand HDR100;Texas A&M University;Dell EMC;United States;2020;Academic;43 200;1 532;2 638,53;4 829,34;4 450 560;;;;;;;Cluster;Xeon Gold 6248R 24C 3GHz;Intel Cascade lake;3 000;CentOS;Linux;None;24;Xeon Gold 62xx (Cascade Lake);PowerEdge R840;Dell PowerEdge Cluster;Infiniband;Mellanox InfiniBand HDR100;North America;48 957;179905
174;134;48;42;LLNL/NNSA CTS-1 Jade;Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;Penguin Computing;United States;2016;Research;95 472;;2 632,51;3 207,86;5 601 024;;;13 620,00;Submitted;0,19;;Cluster;Xeon E5-2695v4 18C 2.1GHz;Intel Broadwell;2 100;Linux/TOSS;Linux;None;18;Intel Xeon E5 (Broadwell);Tundra Extreme Scale;Penguin Computing Cluster;Omnipath;Intel Omni-Path;North America;48 247;178969
175;135;48;43;LLNL CTS-1 Quartz;Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;Penguin Computing;United States;2016;Research;95 472;;2 632,51;3 207,86;5 601 024;;;13 620,00;Submitted;0,19;;Cluster;Xeon E5-2695v4 18C 2.1GHz;Intel Broadwell;2 100;Linux/TOSS;Linux;None;18;Intel Xeon E5 (Broadwell);Tundra Extreme Scale;Penguin Computing Cluster;Omnipath;Intel Omni-Path;North America;48 247;178971
176;136;54;98;;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;64 000;;2 621,44;5 120,00;5 542 656;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179747
177;137;55;113;;Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100;Tsinghua University;Inspur;China;2020;Academic;50 400;;2 610,00;4 354,56;4 298 000;;;;;;;Cluster;Xeon Gold 6258R 28C 2.7GHz;Intel Cascade lake;2 700;Linux;Linux;None;28;Xeon Gold 62xx (Cascade Lake);Inspur TS10000;Inspur Cluster;Infiniband;InfiniBand HDR 100;Asia;49 774;179827
178;;57;178;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;68 160;;2 609,16;5 452,80;5 221 632;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179919
179;138;55;114;Cedar (CPU);PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path;Simon Fraser University/Compute Canada;ACTION;Canada;2020;Academic;67 584;;2 607,98;4 895,54;4 320 000;;;792,00;Submitted;3,29;;Cluster;Xeon Platinum 8260 24C 2.4GHz;Intel Cascade lake;2 400;CentOS;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);PowerEdge C6420;Dell PowerEdge Cluster;Omnipath;Intel Omni-Path;North America;50 722;179858
180;139;55;115;Daley;Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ;Shared Services Canada;Cray/HPE;Canada;2019;Government;53 200;;2 598,28;4 085,76;2 799 744;;;;;;;MPP;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Cray Linux Environment ;Linux;None;20;Xeon Gold;Cray XC50;Cray XC;Custom Interconnect;Aries interconnect ;North America;50 719;179863
181;;57;181;AlphaCentauri;NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200;TU Dresden, ZIH;NEC;Germany;2021;Academic;31 008;29 376;2 592,00;5 364,06;1 170 432;;87,54;163,65;Submitted;15,84;;Cluster;EPYC 7352 24C 2.3GHz;AMD Zen-2 (Rome);2 300;CentOS;Linux;NVIDIA A100 SXM4 40 GB;24;AMD Rome;NEC HPC 22S8Ri-4;NEC Cluster;Infiniband;Infiniband HDR200;Europe;50 565;179942
182;141;49;48;HPC3;Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80;Energy Company (A);Lenovo;Italy;2017;Industry;66 000;39 000;2 592,00;3 798,60;3 184 896;;;;;;;Cluster;Xeon E5-2697v4 18C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;NVIDIA Tesla K80;18;Intel Xeon E5 (Broadwell);Lenovo NeXtScale nx360 M5;Lenovo NeXtScale;Infiniband;Infiniband EDR;Europe;49 438;179071
183;142;55;117;;ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2020;Industry;62 400;;2 590,84;4 992,00;5 472 768;;;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;20;Xeon Gold 62xx (Cascade Lake);ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179812
184;143;55;118;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2020;Industry;64 320;;2 583,09;5 145,60;5 072 256;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179811
185;;57;185;;ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet;Service Provider K;Lenovo;China;2021;Industry;83 200;;2 581,02;5 591,04;5 542 656;;;;;;;Cluster;Xeon Gold 6230R 26C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;None;26;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 885;179915
186;;57;186;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;67 200;;2 574,02;5 376,00;5 184 768;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179918
187;144;51;66;Mihir;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;National Centre for Medium Range Weather Forecasting;Cray/HPE;India;2018;Research;83 592;;2 570,40;2 808,69;3 349 440;;;954,73;Submitted;2,69;;MPP;Xeon E5-2695v4 18C 2.1GHz;Intel Broadwell;2 100;Cray Linux Environment ;Linux;None;18;Intel Xeon E5 (Broadwell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Asia;50 235;179418
188;145;36;1;Tianhe-1A;NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050;National Supercomputing Center in Tianjin;NUDT;China;2010;Research;186 368;100 352;2 566,00;4 701,00;3 600 000;1 000 000;;4 040,00;Submitted;0,64;;MPP;Xeon X5670 6C 2.93GHz;Intel Nehalem;2 930;Linux;Linux;NVIDIA 2050;6;Xeon 5600-series (Westmere-EP);NUDT YH MPP;NUDT MPP;Proprietary Network;Proprietary;Asia;50 310;176929
189;146;56;146;Spartan2;Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband;Atos;Atos;France;2020;Vendor;23 040;20 736;2 566,00;3 847,22;981 504;;66,70;105,76;Submitted;24,26;;Cluster;AMD EPYC 7402 24C 2.8GHz;AMD Zen-2 (Rome);2 800;Linux;Linux;NVIDIA A100;24;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox HDR Infiniband;Europe;50 630;179893
190;147;51;68;PAI-BSystem;Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100;China Meteorological Administration;Sugon;China;2018;Research;50 816;2 688;2 547,00;4 229,85;5 498 000;;;710,00;Submitted;3,59;;Cluster;Xeon Gold 6142 16C 2.6GHz;Intel Skylake;2 600;RHEL 7.3;Linux;NVIDIA Tesla P100;16;Xeon Gold;Sugon TC4600LP;Sugon Cluster;Infiniband;Infiniband EDR;Asia;47 551;179440
191;148;42;14;cascade;Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P;DOE/SC/Pacific Northwest National Laboratory;Atipa;United States;2013;Research;194 616;171 720;2 539,13;3 388,03;4 032 000;;;1 384,00;Submitted;1,83;;Cluster;Xeon E5-2670 8C 2.6GHz;Intel SandyBridge;2 600;Linux;Linux;Intel Xeon Phi 5110P;8;Intel Xeon E5 (SandyBridge);Atipa Visione IF442 Blade Server;Atipa Cluster;Infiniband;Infiniband FDR;North America;48 611;178250
192;149;49;51;occigen2;bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR;Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES);Atos;France;2016;Academic;85 824;;2 494,65;3 570,28;3 889 152;;45,48;1 430,00;Submitted;1,74;;Cluster;Xeon E5-2690v4 14C 2.6GHz;Intel Broadwell;2 600;bullx SCS;Linux;None;14;Intel Xeon E5 (Broadwell);bullx DLC 720;Bull Bullx;Infiniband;Infiniband FDR;Europe;50 203;179092
193;150;55;125;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2020;Industry;61 440;;2 487,09;4 915,20;4 957 440;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179813
194;151;44;20;Excalibur;Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ;Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC);Cray/HPE;United States;2014;Government;100 064;;2 485,00;3 682,36;6 441 408;;;1 465,78;Submitted;1,70;;MPP;Xeon E5-2698v3 16C 2.3GHz;Intel Haswell;2 300;Cray Linux Environment ;Linux;None;16;Intel Xeon E5 (Haswell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;North America;50 423;178447
195;152;53;92;CLAIX (2018);INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path;Universitaet Aachen/RWTH - IT Center;NEC;Germany;2018;Academic;61 200;;2 483,58;4 112,64;2 937 600;;;692,05;Submitted;3,59;;Cluster;Xeon Platinum 8160  24C 2.1GHz;Intel Skylake;2 100;CentOS;Linux;None;24;Xeon Platinum;INTEL-HNS2600BPB;NEC Cluster;Omnipath;Intel Omni-Path;Europe;50 675;179682
196;153;56;153;Expanse;PowerEdge R6525/C6525, AMD EPYC 7742, AMD EPYC 7742 64C, Mellanox HDR Infiniband;UCSD/San Diego Supercomputer Center;Dell EMC;United States;2020;Academic;91 648;16 640;2 480,60;3 299,33;4 652 592;-1;;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;CentOS;Linux;None;64;AMD Rome;PowerEdge R6525;Dell PowerEdge Cluster;Infiniband;Mellanox HDR Infiniband;North America;49 020;179904
197;154;55;128;;Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet;Manufacturing Industry (O);Inspur;China;2020;Industry;50 400;48 000;2 480,00;4 680,00;1 436 000;;;;;;;Cluster;Xeon Gold 6242 16C 2.8GHz;Intel Cascade lake;2 800;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold 62xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;100G Ethernet;Asia;50 833;179829
198;155;55;129;;Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet;Manufacturing Industry (O);Inspur;China;2020;Industry;50 400;48 000;2 480,00;4 680,00;1 436 000;;;;;;;Cluster;Xeon Gold 6242 16C 2.8GHz;Intel Cascade lake;2 800;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold 62xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;100G Ethernet;Asia;50 833;179830
199;156;43;130;Lomonosov 2;T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100;Moscow State University - Research Computing Center;T-Platforms;Russia;2014;Academic;64 384;40 960;2 478,00;4 946,79;1 462 272;;;;;;;Cluster;Xeon E5-2697v3 14C 2.6GHz;Intel Haswell;2 600;Linux;Linux;NVIDIA Tesla K40m;14;Intel Xeon E5 (Haswell);T-Platforms A-Class Cluster;T-Platforms Cluster;Infiniband;Infiniband FDR;Europe;50 104;178444
200;;57;200;Kay;Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR;Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC);Liqid;United States;2020;Government;46 848;;2 475,67;3 448,01;3 545 846;;;;;;;Cluster;Intel Xeon Platinum 9242 48C 2.3GHz;Intel Cascade lake;2 300;CentOS;Linux;None;48;Xeon Platinum 92xx (Cascade Lake);Liqid Cluster;Liqid Cluster;Infiniband;Infiniband HDR;North America;50 423;179952
201;157;53;94;B1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;60 000;;2 462,40;4 800,00;5 366 400;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179658
202;158;49;53;Centennial;SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR;US Army Research Laboratory (ARL);HPE;United States;2017;Research;73 920;;2 443,70;2 601,98;5 127 360;;;835,00;Submitted;2,93;;Cluster;Xeon E5-2698v4 20C 2.2GHz;Intel Broadwell;2 200;RHEL 7.2;Linux;None;20;Intel Xeon E5 (Broadwell);SGI ICE XA;SGI ICE;Infiniband;Infiniband EDR;North America;49 039;179105
203;159;51;74;PAI-ASystem;Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR;China Meteorological Administration;Sugon;China;2017;Research;48 128;;2 435,00;4 004,25;5 572 000;;;740,00;Submitted;3,29;;Cluster;Xeon Gold 6142 16C 2.6GHz;Intel Skylake;2 600;Linux;Linux;None;16;Xeon Gold;Sugon TC4600;Sugon Cluster;Infiniband;Infiniband EDR;Asia;47 551;179425
204;160;53;97;C1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;59 200;;2 433,83;4 736,00;5 330 688;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179657
205;;57;205;Big Red 200;HPE Cray EX425, AMD EPYC 7742 64C 2.25GHz, Slingshot-10;Indiana University;HPE;United States;2020;Academic;84 480;;2 431,20;3 041,28;4 056 000;;;;;;;MPP;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;SLES15 SP2;Linux;None;64;AMD Rome;HPE Cray EX425;HPE Cray EX;Gigabit Ethernet;Slingshot-10;North America;48 098;179949
206;161;55;135;;ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet;DJIT Company;Lenovo;China;2020;Industry;115 200;;2 429,15;4 239,36;8 313 984;;;;;;;Cluster;Xeon Gold 5218 16C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;16;Xeon Gold;ThinkSystem SR590;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 787;179820
207;162;53;98;D1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;58 800;;2 421,62;4 704,00;5 312 640;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179656
208;163;55;137;;ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;113 600;;2 399,59;4 180,48;8 256 000;;;;;;;Cluster;Xeon Gold 5218 16C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;16;Xeon Gold;ThinkSystem SR590;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 329;179816
209;164;46;29;Nuri;Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ;Korea Meteorological Administration;Cray/HPE;South Korea;2015;Research;69 600;;2 395,68;2 895,36;6 661 248;;;1 359,38;Submitted;1,76;;MPP;Xeon E5-2690v3 12C 2.6GHz;Intel Haswell;2 600;Cray Linux Environment ;Linux;None;12;Intel Xeon E5 (Haswell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Asia;48 217;178611
210;165;46;30;Miri;Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ;Korea Meteorological Administration;Cray/HPE;South Korea;2015;Research;69 600;;2 395,68;2 895,36;6 661 248;;;1 359,38;Submitted;1,76;;MPP;Xeon E5-2690v3 12C 2.6GHz;Intel Haswell;2 600;Cray Linux Environment ;Linux;None;12;Intel Xeon E5 (Haswell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Asia;48 217;178612
211;166;53;101;E1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;58 000;;2 392,38;4 640,00;5 276 544;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179655
212;167;55;141;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2020;Industry;58 560;;2 379,87;4 684,80;4 839 936;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179814
213;169;55;143;;ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;112 000;;2 374,04;4 121,60;8 197 632;;;;;;;Cluster;Xeon Gold 5218 16C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;16;Xeon Gold;ThinkSystem SR590;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 329;179817
214;170;56;170;NVIDIA DGX SuperPOD;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband;NVIDIA Corporation;Nvidia;United States;2020;Vendor;19 840;17 280;2 356,00;2 812,80;1 262 888;;63,00;89,94;Submitted;26,20;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Ubuntu 20.04.1 LTS;Linux;NVIDIA A100;64;AMD Rome;NVIDIA DGX A100;NVIDIA DGX;Infiniband;Mellanox HDR Infiniband;North America;48 448;179910
215;171;56;171;ZZ1;ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;153 600;;2 354,91;10 321,92;11 085 312;;;;;;;Cluster;Xeon Silver 4110 8C 2.1GHz;Intel Skylake;2 100;Linux;Linux;None;8;Xeon Silver;ThinkSystem HR630X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179886
216;;57;216;Ares;CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR;Cyfronet;Huawei;Poland;2021;Academic;37 824;;2 338,79;3 510,07;4 157 568;;31,22;486,85;Submitted;4,80;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;CentOS;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);CH121L V5 Liquid-Cooled;Huawei Cluster;Infiniband;Infiniband EDR;Europe;47 634;179958
217;172;55;144;;Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet;Internet Company;Inspur;China;2020;Industry;48 160;44 800;2 336,00;4 368,00;1 387 000;;;;;;;Cluster;Xeon Platinum 8260M 24C 2.4GHz;Intel Cascade lake;2 400;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum 82xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;100G Ethernet;Asia;50 743;179821
218;173;55;145;;Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet;Internet Company;Inspur;China;2020;Industry;48 160;44 800;2 336,00;4 368,00;1 387 000;;;;;;;Cluster;Xeon Platinum 8260M 24C 2.4GHz;Intel Cascade lake;2 400;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum 82xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;100G Ethernet;Asia;50 743;179822
219;;57;219;HoreKa-Blue;ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, Mellanox HDR Infiniband;Karlsruher Institut für Technologie (KIT) ;Lenovo;Germany;2021;Academic;45 752;;2 333,51;3 513,75;2 764 800;;;494,51;Submitted;4,72;;Cluster;Xeon Platinum 8368 38C 2.4GHz;Intel Ice Lake;2 400;Linux;Linux;None;38;Xeon® Platinum 83xx (Ice Lake);ThinkSystem SD650 V2;Lenovo ThinkSystem;Infiniband;Mellanox HDR Infiniband;Europe;50 444;179914
220;174;55;146;;Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet;Internet Service P;Inspur;China;2020;Industry;53 760;51 200;2 329,00;4 480,00;1 483 000;;;;;;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 759;179832
221;175;55;147;;Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet;Internet Service P;Inspur;China;2020;Industry;53 760;51 200;2 329,00;4 480,00;1 483 000;;;;;;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 759;179834
222;176;55;148;;Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet;Internet Service P;Inspur;China;2020;Industry;53 760;51 200;2 329,00;4 480,00;1 483 000;;;;;;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 759;179838
223;177;51;78;Makman-3;PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path;Saudi Aramco;Dell EMC;Saudi Arabia;2018;Industry;53 300;;2 322,46;3 581,76;4 171 000;;;608,00;Submitted;3,82;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;RHEL 7.4;Linux;None;16;Xeon Gold;PowerEdge R440;Dell PowerEdge Cluster;Omnipath;Intel Omni-Path;Asia;48 751;179437
224;178;53;104;F1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;56 000;;2 317,95;4 480,00;5 184 768;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179654
225;179;56;179;;Inspur TS10000 HPC Server, Xeon Gold 6226R 16C 2.9GHz, NVIDIA Tesla V100, 25G Ethernet;Energy Company B;Inspur;China;2020;Industry;49 920;41 600;2 316,00;4 412,10;1 337 000;668 500;;;;;;Cluster;Xeon Gold 6226R 16C 2.9GHz;Intel Cascade lake;2 900;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold 62xx (Cascade Lake);Inspur TS10000 HPC Server;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 842;179869
